ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
6486,50000,1,3,2,25,0,0,0,0,2,2,46277,47713,44006,29737,30615,29975,2500,2300,2500,1500,0,1000,0
509,80000,2,2,1,30,0,0,0,0,0,2,21507,13207,13997,10914,10685,5515,1700,1400,200,1000,0,500,0
20042,260000,2,2,1,48,0,0,0,0,0,0,85378,71870,72994,57382,58522,59748,2664,2376,2084,2095,2169,2182,0
19362,210000,2,2,1,33,-1,-1,-1,-1,-1,-1,7655,1644,2258,8241,428,3537,1644,2261,11008,428,3537,0,0
16777,50000,1,3,2,43,0,0,0,0,-1,0,50517,48230,42674,4593,18007,18230,2015,1882,2119,45800,662,1000,0
2644,360000,1,1,1,39,1,-2,-2,-2,-1,-1,0,0,0,0,691,7020,0,0,0,691,7020,0,0
17795,500000,2,1,2,51,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
6648,160000,1,2,1,45,1,2,2,2,2,2,11569,11092,12900,12396,13692,13323,0,2000,0,1500,0,2000,0
2596,20000,1,3,2,41,0,0,0,0,0,0,9186,9459,10102,10452,10907,10400,1200,1200,500,1000,600,0,0
20637,100000,1,3,2,30,0,0,0,0,0,0,92218,78066,77240,87919,75386,69410,3435,4608,25140,2566,2375,4621,0
28387,60000,2,2,1,40,0,0,0,-1,-1,-1,28738,30216,23720,1569,5580,2211,4000,1010,1569,5580,2211,0,1
28457,100000,2,3,1,46,0,0,2,0,0,0,33699,32450,30160,22934,21876,22910,4500,0,1600,1000,2800,0,0
29080,400000,2,2,1,55,-1,-1,2,0,-1,0,530,5332,5101,6201,2173,2803,5101,6,2000,2173,2000,4500,0
16992,50000,2,2,2,22,2,2,2,2,2,2,36665,40362,39441,41318,13996,14974,4626,0,3003,0,1206,0,1
18627,120000,2,2,1,26,-1,-1,-1,-1,-2,-1,9267,29600,1980,0,0,10853,29600,1980,0,0,42138,26341,0
9005,130000,1,2,2,33,2,2,-1,-1,-2,-2,2183,2000,700,0,0,0,13,700,0,0,0,0,0
14796,10000,1,2,1,31,0,0,0,2,0,0,6106,7199,10215,9943,9758,9335,1200,4442,0,1200,1200,0,0
3239,150000,2,1,2,25,-1,-1,0,0,0,-1,3167,13680,12848,8445,6868,1310,13879,4000,0,0,1310,0,0
23747,200000,2,3,2,49,-1,-1,-1,-1,-1,-1,1801,181,4095,5711,21420,6719,181,4126,5711,21520,6719,150,0
28133,540000,2,3,2,38,1,-2,-2,-2,-2,-2,736,736,736,736,0,-736,736,736,736,0,0,2965,0
15410,140000,2,2,1,48,0,0,0,0,0,0,248822,246595,249664,253418,258909,255232,10000,10200,9000,9000,10000,10000,0
18559,310000,2,1,2,26,0,0,0,0,0,0,27638,24020,25223,25555,24311,17992,1393,1596,1447,93,118,56,0
29979,310000,1,2,1,39,0,0,0,0,0,0,238973,237196,233854,219409,216540,210675,10029,9218,10029,8049,8040,10059,0
13262,60000,2,2,1,60,8,7,6,5,4,3,69183,68216,66616,65016,63449,62149,0,0,0,0,0,0,0
7986,360000,2,1,2,32,-1,-1,-1,-1,0,-1,42524,53303,3924,43900,88865,12104,53563,3924,43900,50000,12104,960,0
24426,150000,1,2,1,41,0,0,0,0,0,0,140172,141528,141411,143748,147159,151185,5507,4007,5001,5003,6001,5000,0
27202,360000,1,2,1,38,-2,-2,-2,-2,-2,-2,1288,2508,2500,0,0,0,2520,2500,0,0,0,0,0
25364,20000,2,2,2,25,2,2,2,2,0,0,17496,16923,20319,19543,19534,19320,0,4000,0,391,386,249,0
7419,20000,1,2,1,59,1,-1,0,0,-1,-1,-1213,30322,20033,19871,15410,18969,52082,15800,2000,20085,39070,25000,0
17327,90000,2,2,3,36,0,0,0,0,0,0,91337,91458,91049,70101,28942,27508,4000,3137,5094,1106,1001,1201,0
22220,500000,2,1,2,29,0,0,0,0,0,0,36051,30912,33740,15272,17015,18740,2065,25099,2000,2000,2000,2000,0
6914,60000,1,2,1,39,0,0,0,0,0,0,59929,35338,22856,22122,19531,16594,2110,2000,200,467,500,4100,0
28296,280000,2,2,2,30,-1,-1,-1,-1,-1,-1,13182,5290,2711,4464,4069,5161,5290,2711,4476,4069,5161,8026,0
20562,180000,1,2,2,28,1,2,2,2,2,2,29484,30309,28313,942,1038,492,2000,942,0,492,0,600,0
8040,240000,1,1,2,35,1,-2,-2,-2,-2,-2,220,0,0,0,0,0,0,0,0,0,0,0,0
7952,50000,2,3,2,35,0,0,0,0,0,0,33507,32401,7087,7227,7378,7527,1108,1118,258,267,271,1147,0
18787,120000,2,1,2,27,-1,-1,-1,-1,-1,-1,22225,1118,490,1433,0,1096,1118,490,1433,0,1096,0,0
9896,70000,1,1,2,36,0,0,0,0,0,0,65275,68595,67916,56766,50395,42214,5000,3000,3000,3000,7000,7000,0
8024,360000,1,5,1,31,0,0,0,0,0,0,275178,280535,82455,83359,85171,87046,7500,3500,2500,2500,2600,3000,0
17505,220000,2,1,2,29,-2,-2,-2,-1,-1,-1,0,799,0,5501,3816,15448,799,0,5501,3816,15448,4179,0
20162,80000,2,2,1,37,0,0,0,0,0,0,63558,59812,68636,40659,32436,36658,2500,10000,3000,3000,5000,5000,0
5066,200000,2,1,1,32,1,-2,-2,-2,-2,-1,0,0,0,0,0,900,0,0,0,0,900,880,0
19475,270000,2,2,1,33,-1,-1,2,-1,0,0,7780,7365,3097,48546,47250,46649,2228,0,48546,2000,3000,3000,1
15951,50000,2,2,1,31,1,3,2,0,0,0,50701,49147,21163,19894,19758,19324,0,507,1300,1000,700,771,1
25159,30000,2,2,2,22,1,2,2,-1,2,2,22623,3019,-341,1129,1470,339,10,0,1470,341,0,12324,1
8838,450000,2,1,1,35,-1,-1,-1,-1,-1,-1,6126,6869,16895,7312,6213,5073,6869,16918,7316,6213,5073,15532,0
7409,30000,2,3,1,41,2,2,2,3,2,2,26042,27127,28762,29485,28878,30699,1800,2378,1496,0,2462,0,1
20784,500000,1,1,1,34,0,0,0,0,0,0,104638,104176,70726,45435,49408,53372,3780,3030,10327,10031,10255,115270,0
1335,300000,2,3,2,29,-2,-2,-2,-2,-2,-2,-140,28092,3572,195,209,990,28232,3589,195,210,994,0,1
11490,360000,2,1,1,48,-1,-1,-1,-1,-1,-1,8243,10742,3300,0,1270,0,10752,3300,0,1270,0,889,0
11369,180000,2,3,1,63,-1,-1,-2,-2,-2,-2,1344,0,0,0,0,0,0,0,0,0,0,0,1
7429,130000,2,1,2,32,0,0,0,0,0,0,126080,129104,130745,127344,127809,119976,7000,8000,5000,4500,4500,5000,0
25486,250000,2,1,2,31,0,0,0,0,0,0,67492,67875,67448,68165,68787,70111,3500,2658,3000,4000,3000,2500,0
27472,360000,1,2,1,50,0,0,0,-1,0,0,221855,256171,-229,10527,9564,0,46000,0,10756,5035,0,0,0
25385,240000,2,1,2,29,2,0,0,2,0,0,32870,34015,38257,37607,40924,43546,2000,5000,0,4000,3000,10000,1
26548,520000,2,3,1,54,0,0,0,0,0,0,653062,671563,689627,706864,383160,294641,28500,30500,30000,15000,15000,0,0
22955,400000,2,3,1,44,0,0,0,0,0,0,35504,36680,35670,30364,28085,28708,5025,5044,2514,988,2004,5000,0
22940,360000,2,2,2,33,0,0,0,0,0,0,7157,8446,9034,8340,3144,0,2000,1501,1000,900,0,0,0
28991,260000,2,1,1,35,-2,-2,-2,-2,-2,-2,0,0,0,0,0,5181,0,0,0,0,5181,0,0
18562,160000,2,2,2,25,0,0,0,0,0,0,156753,153392,143297,140984,120742,115637,10000,8000,7000,5000,5000,5000,0
23888,80000,1,2,1,27,0,0,0,0,2,0,58777,60201,61633,69160,26000,25000,3000,3000,9160,0,0,0,0
16624,80000,1,1,2,31,0,0,0,0,0,0,72840,74631,77329,78147,79785,76766,9000,5000,3000,3000,2501,3000,0
1149,140000,2,1,2,30,1,2,0,0,0,0,149389,145757,144229,144470,144386,120586,0,5350,5555,5836,4191,4341,0
7995,100000,2,2,2,23,-1,-1,-1,-1,-1,-1,694,650,687,620,0,627,656,687,620,0,627,3620,1
9528,50000,2,2,1,33,0,0,0,0,0,0,76025,78548,77882,79471,81121,1685,3750,1558,1589,1650,9980,0,1
4171,140000,1,1,2,27,-1,-1,-1,-1,-1,-1,13497,15680,3400,3218,16478,4078,15688,4000,3218,17000,4500,4448,0
22332,390000,2,1,2,30,0,0,0,0,0,0,7650,8500,4090,8342,7611,8018,3031,2010,6500,2000,1000,1000,0
20556,60000,1,1,2,28,0,0,2,2,0,0,59059,50579,24193,23511,24019,24481,3800,1900,0,1200,1000,3500,0
25742,30000,2,2,1,37,3,3,3,2,0,0,27672,28911,29163,28380,28636,30290,2000,1000,0,1000,2100,1500,1
23952,50000,1,2,2,24,0,0,0,-1,0,0,52359,51158,3957,52522,31921,29265,2064,1053,53874,1009,934,719,0
21140,210000,1,1,1,35,-1,-1,-1,-1,-2,-1,205,0,775,0,0,635,0,775,0,0,635,0,0
12743,170000,2,2,2,50,-1,-1,-1,-1,-1,-1,10072,2417,199,1628,0,4968,2417,199,1628,0,4968,0,0
18959,230000,2,1,1,30,0,0,0,0,-1,0,37719,30341,25981,24092,65840,56538,3025,5000,5000,65840,2000,2000,0
6428,100000,2,2,2,23,0,0,0,0,0,0,8002,7954,9777,10026,9657,9279,2000,2000,1000,504,1000,2000,0
11485,30000,2,1,2,23,2,2,2,2,2,2,25487,26513,27026,27871,29017,28403,1738,1251,1596,1742,0,1374,1
721,30000,2,2,2,22,0,0,2,0,0,0,23892,28459,25499,25778,28708,30520,5300,0,1000,3352,2300,0,0
17947,230000,1,2,1,43,0,0,0,0,0,2,3472,4053,4503,4964,4400,3979,1061,1275,1000,200,0,227,0
7317,230000,1,2,1,50,0,0,0,0,0,0,94314,96269,56058,57174,58371,59561,4082,1990,2003,2074,2115,2094,1
10931,320000,2,1,2,43,0,0,0,0,0,0,34702,76361,58124,70717,78149,70379,50390,20000,20000,15000,40000,40000,0
23401,210000,2,1,1,40,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
10419,500000,1,1,1,64,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1063,1
3341,60000,1,2,2,41,0,-1,-1,-1,-1,-1,14895,6750,5784,5246,3760,11411,6750,5784,5246,3760,11411,7435,0
25585,30000,2,2,1,35,2,3,2,2,2,2,27223,26474,25344,25634,24924,26546,0,2000,1000,0,2026,0,1
11373,20000,2,4,2,22,0,0,0,0,0,0,17576,17632,18385,18657,8539,0,1500,1200,1000,1000,0,0,0
14494,120000,2,2,2,30,0,0,0,0,0,0,104801,100502,86478,81902,78616,80307,4000,2960,3833,2855,3000,3000,0
19735,150000,2,1,2,40,-2,-1,-1,-1,-1,-1,798,2305,1036,5022,3938,316,2309,1036,5048,3946,316,314,0
9149,10000,2,2,2,46,0,0,2,2,3,2,2496,4245,4525,5450,5073,4843,1800,500,1000,0,0,800,1
11458,130000,1,5,2,46,2,0,0,0,0,0,79705,59716,38343,37834,37429,36991,2475,1600,1300,1400,1400,2000,0
19355,30000,2,3,1,39,0,0,0,2,0,0,21173,22513,23826,20613,21269,22761,2000,2000,1000,1000,2000,2000,1
12943,240000,1,1,1,38,1,-2,-2,-2,-2,-1,0,0,0,0,0,690,0,0,0,0,690,0,0
11076,50000,1,3,3,45,-1,0,-1,-1,-1,-1,24077,22385,3000,5260,1025,5900,1000,3008,5260,1025,5900,2800,0
19098,50000,2,1,2,25,0,0,0,0,0,2,26240,26996,28056,29584,31595,30952,1500,1500,2000,2500,0,3000,0
26359,80000,2,3,1,32,2,0,0,0,2,0,26856,24758,23044,22919,21890,22003,1700,1400,2400,0,1000,1500,0
24242,90000,1,1,2,30,0,0,0,0,0,0,40768,41789,42913,44388,45348,48454,2000,2100,2500,2000,4000,0,0
19867,160000,2,2,1,39,0,0,-2,-2,-1,-1,106260,0,0,0,390,86188,0,0,0,390,86188,3272,0
8255,30000,1,1,2,22,0,-1,0,0,0,2,2949,19689,17681,17113,13368,11739,19689,2092,1500,1500,0,161,0
7237,280000,1,1,2,27,-1,-1,0,0,0,-1,6564,1333,21064,19969,578,35152,1334,21003,428,12,35152,892,0
9192,350000,2,2,3,44,2,2,-2,-2,-2,-1,52949,-4577,-4577,-2699,-2699,297301,3682,0,1878,0,300000,0,0
25785,80000,2,2,1,31,0,0,0,0,0,0,115293,75861,32282,32869,31988,48431,2006,2000,1520,888,16696,1700,0
13859,80000,1,2,1,25,0,0,0,0,0,0,77199,79640,48977,49369,49778,50404,3700,1600,1600,1610,1866,1200,0
6456,80000,2,1,2,28,1,2,2,2,2,2,53541,54694,55297,55788,57146,58351,2600,2100,2000,2400,2300,2315,0
12398,360000,2,1,1,46,1,-1,-1,-1,-1,-1,723,17392,-8,32170,680,6205,17392,0,32178,680,6205,18814,0
3136,100000,2,1,2,26,0,0,0,0,0,0,96353,99710,102093,97701,99322,98787,4900,5000,4000,3800,3710,4100,0
9970,150000,2,1,1,45,0,0,0,0,0,0,123580,126136,128709,131292,134011,136711,3575,3647,3678,3793,3835,3952,0
27761,80000,2,3,2,25,0,0,0,0,0,0,79986,80012,78748,76722,70370,64510,3000,3010,2700,2300,2500,2000,0
9742,60000,1,2,1,42,0,0,0,0,0,0,49244,48310,41746,25488,26199,28200,2000,2000,1000,1501,3000,1500,0
13807,50000,1,2,1,41,2,0,0,0,0,0,48958,48293,48999,7470,6406,3679,2572,2602,349,706,500,1000,1
7873,310000,2,1,1,25,0,0,0,0,0,0,184538,153625,142810,125869,107986,83461,5019,3872,3147,2912,5109,1604,0
7542,50000,1,2,2,22,-1,2,2,2,0,0,19875,19273,21133,19121,19663,20235,0,2500,0,1000,1050,600,1
27136,500000,1,2,1,47,-1,-1,-1,-1,-1,-1,18463,17849,12818,5674,11416,36000,18011,12818,5674,11416,36018,14537,0
10129,130000,2,2,1,37,1,2,2,2,0,0,67612,65997,70604,68904,70369,71682,0,6300,0,2700,2600,2800,1
3576,60000,1,3,2,28,2,2,2,2,2,2,53567,59629,60943,60716,58458,49529,6950,3250,1767,0,3654,0,0
28221,30000,2,2,1,33,3,2,2,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1
7837,20000,1,2,2,23,-1,0,0,0,0,0,15879,15441,9124,12915,4305,18495,4000,2000,10000,500,16000,1000,0
4724,200000,2,2,2,31,0,0,0,0,-2,-2,8350,4750,5134,245,56,167,2001,1001,501,201,501,501,0
9069,30000,2,2,1,34,0,-1,-1,0,0,-1,27816,1250,24135,24745,22805,10745,1260,24135,1000,2000,10745,18572,0
3333,500000,1,1,1,59,-2,-2,-2,-2,-2,-2,0,0,994,3342,1240,700,0,994,3342,1240,700,2250,1
27541,180000,1,3,1,65,0,-1,0,0,0,0,191309,174775,174702,176816,180911,123229,175100,7000,5000,5309,5288,3000,1
20591,200000,1,2,1,29,-2,-2,-2,-2,-2,-2,1418,3052,3538,17091,2413,1301,3066,3555,17175,2435,1307,5839,0
28619,270000,2,4,2,42,-2,-2,-2,-2,-2,-2,14352,1843,9190,2072,637,238,1859,9190,2072,637,238,0,0
22799,360000,2,2,1,37,-2,-2,-2,-2,-2,-2,-5,-5,-5,-5,-5,-5,0,0,0,0,0,0,0
8980,190000,2,2,1,34,0,0,0,0,0,0,139569,101823,100209,85218,112672,76224,4500,40000,25000,35000,2897,20000,0
5769,320000,1,1,3,32,-1,-1,-1,-1,-1,-1,802,4929,2064,4365,1183,3287,4929,2064,4365,1183,3287,2810,0
7406,160000,2,4,1,39,1,-2,-2,-2,-2,-2,-18,-18,-18,-18,-18,-18,0,0,0,0,0,0,0
4442,50000,1,2,1,49,0,0,0,0,0,0,35623,12601,10527,10679,10734,11550,1168,1500,1000,1000,1000,1000,0
22430,150000,2,1,2,35,-1,2,2,2,2,2,15349,12834,25740,20995,21353,14453,0,15600,0,758,0,2580,0
20009,200000,2,1,2,31,0,0,0,0,0,0,90708,58787,104382,91888,88267,85471,2768,48617,3243,3000,3233,3000,0
22010,210000,2,1,2,28,0,-1,-1,-1,-1,-1,7457,1512,8475,5499,2960,670,1512,8475,5499,2960,670,25594,0
16360,230000,2,3,1,32,1,2,0,-1,0,-1,167419,16968,7226,1469,690,388,76,3742,1546,0,388,910,0
25434,100000,2,3,2,28,3,2,2,5,5,4,1250,1250,1250,1250,1250,650,0,0,0,0,0,0,0
2471,140000,2,1,2,29,2,2,2,2,2,2,97905,100152,100772,101562,103214,88085,4700,3200,3500,3193,0,2304,1
24856,50000,1,2,2,35,0,0,0,0,0,0,49986,46720,48166,49167,26032,26235,23800,2200,2150,1000,1000,1000,1
16771,40000,1,2,1,38,3,2,0,0,2,0,38291,37380,38180,40524,39720,39860,0,1706,3050,0,1565,1278,1
21956,280000,2,1,2,27,-1,-1,-1,-1,-1,-1,6585,4308,0,1265,1627,204,4308,0,1265,1638,204,3908,0
25907,60000,2,1,2,29,0,0,0,0,0,0,39553,40855,40870,39703,38600,40230,1969,1668,1609,1506,2379,0,0
22048,140000,2,2,1,28,-1,2,-1,-1,-1,-1,1953,1366,464,337,548,395,0,464,337,548,395,681,1
2271,70000,2,2,2,23,-1,0,0,0,0,0,3082,4370,9353,15282,20400,12915,1500,5353,6282,6342,2055,3257,0
14660,130000,1,2,2,32,-1,-1,-1,-1,-1,-1,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,0
18907,310000,2,1,2,28,0,0,0,-1,-1,-1,37085,23506,12191,13775,12377,34458,3817,1000,13775,12377,34458,1269,0
13803,50000,1,3,2,46,1,2,0,0,0,0,49220,48161,49310,49725,49910,48694,0,2000,1900,2007,2000,2012,1
11006,20000,1,2,1,35,0,0,0,0,0,-1,20139,19067,19787,19682,7468,2312,1480,1200,394,210,5546,0,1
13472,80000,1,1,2,26,0,0,0,0,0,0,83593,72883,67337,60807,59088,47829,2727,3170,1940,2200,1700,1708,0
19480,50000,2,3,2,35,0,0,-1,0,-1,0,54731,51080,45536,38745,37395,19247,1730,52014,1200,19959,1402,811,0
25872,80000,2,2,1,36,1,-2,-2,-2,-2,-2,4233,14233,15854,10000,10000,10000,14233,15854,10000,10000,10000,10000,0
15513,30000,1,2,1,37,2,2,2,2,2,2,19177,20054,20930,21291,20651,22110,1500,1500,1000,0,1801,1000,1
12189,100000,1,2,1,30,0,0,0,0,0,0,57998,60063,63925,68058,69273,56101,3000,5000,5305,3000,6600,0,1
5451,30000,1,2,2,49,-1,-1,-1,-1,-1,-1,1659,1473,390,390,390,1320,1473,390,390,390,1320,0,0
663,140000,2,1,2,37,-1,-1,-1,-2,-2,-1,1034,40000,0,0,0,510,40000,0,0,0,510,0,0
27231,200000,1,1,2,36,2,2,2,0,0,0,89082,91055,89064,90019,92850,98666,4000,0,3000,4000,7000,4000,1
16920,50000,1,3,1,52,2,2,2,2,4,3,36428,37530,38630,41774,40806,41357,2000,2000,4086,0,1500,1000,0
14176,500000,2,1,1,52,-2,-2,-2,-2,-2,-2,144430,50001,62622,166818,78909,40268,50133,62646,166853,79331,40268,66607,0
8309,80000,1,1,2,25,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
16315,130000,2,3,2,37,0,0,0,0,0,0,31280,32582,33328,34310,35059,44458,1813,1559,1541,1290,10000,1958,0
13679,20000,1,2,1,22,0,0,0,0,0,0,19356,19754,20279,19887,19887,0,1485,1400,398,0,0,0,0
25660,160000,2,2,1,33,0,-1,-1,-1,0,0,9765,2836,824,948,632,316,2836,824,948,0,0,316,0
20928,50000,1,1,1,33,0,0,2,0,0,0,40505,46745,45727,45515,45470,4220,6930,0,1200,155,3000,0,0
9012,300000,2,1,2,48,2,0,0,0,0,0,304040,305627,305697,269017,275230,260419,11500,12000,10000,10500,10000,10000,1
17064,30000,2,1,2,23,0,0,0,2,2,0,29047,30062,29659,29274,18770,13960,1508,3016,1730,16,1001,1000,1
828,10000,1,2,2,37,0,0,0,0,2,2,8755,8158,7540,8164,6963,5923,1167,1022,1036,0,2700,0,0
14370,210000,1,2,1,42,0,0,0,0,0,0,88498,168938,79989,69800,54256,48256,3555,2253,1404,1085,1652,5595,0
9079,10000,2,2,1,53,0,0,0,-2,-2,-2,9269,10400,0,0,0,0,1400,0,0,0,0,0,1
8772,320000,2,2,1,53,0,0,0,0,0,0,8513,151835,153327,155528,158745,161937,150000,8510,5000,4500,4544,5000,0
11467,220000,2,2,1,45,1,-1,0,-1,0,-1,0,6010,7069,43957,30693,13264,6010,1229,43957,614,13264,700,0
1750,120000,2,1,2,27,0,0,0,0,0,0,79072,80795,82451,84177,85945,87813,3000,3000,3100,3122,3300,3060,0
14519,20000,1,3,1,42,2,2,2,-2,-2,-2,13053,4078,0,0,0,0,16,0,0,0,0,0,1
14458,10000,1,2,3,28,0,0,0,0,0,0,5757,6805,7662,8034,8256,8957,1300,1128,500,500,1000,500,1
3852,20000,2,3,2,38,1,-1,-1,-1,-1,-2,0,3796,5081,888,0,0,3796,5081,888,0,0,0,1
4342,50000,1,2,1,32,0,0,0,0,0,0,46253,46117,46919,17459,17825,18193,1998,3000,625,647,664,649,0
9787,360000,1,1,1,32,-1,-1,-1,0,0,0,2612,3218,6989,2729,1436,-14,3234,7021,6,7,0,0,0
23474,450000,2,1,2,31,-1,-1,-2,-2,-1,0,2609,0,0,0,17855,3430,0,0,0,17855,0,2500,0
12299,100000,2,1,2,25,1,-1,-1,-1,-1,-1,0,460,0,85,60,520,460,0,85,60,520,0,0
20832,80000,1,3,1,42,-2,-2,-2,-2,-2,-2,390,1780,120,0,0,0,1780,360,0,0,0,0,0
15285,490000,2,1,2,41,0,0,0,0,0,0,250970,255009,248203,101770,63192,64720,10000,11547,4600,2000,2000,2000,0
15768,10000,2,2,2,23,0,0,0,0,0,2,5403,6462,7479,8489,9007,9227,1300,1272,1282,800,500,0,0
19906,500000,2,1,2,45,-1,-1,-1,0,-1,-1,290,5640,52858,151479,29343,2355,5692,52858,100756,29488,2365,8762,0
8506,80000,2,2,1,32,1,2,0,0,0,0,73181,71452,72651,74266,75892,75816,0,3000,2800,2800,2700,2800,0
